disN,disE,disD
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
-1.9379,1.4688999999999999,-0.9229
